dataset,task,age_group,race,gender,subgroup_key,model_name,model_set,rank,is_winner,is_runner_up,final_R_bad,R_global_bad,R_local_bad,R_age_bad,R_race_bad,R_gender_bad,score_formula,score_direction,n_total,age_n,race_n,gender_n,intersection_n,lambda_age,lambda_race,lambda_gender,lambda_sum,intersection_lambda
harvard_fairvision,amd,middle-aged,asian,male,age_group=middle-aged|race=asian|gender=male,retizero_slo,all,9,0,0,0.42931280708989067,0.4179853664198548,0.44383516692326996,0.45724397992743415,0.4176559147389625,0.43723513806394404,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1236,39,0.3446666666666667,0.07266666666666667,0.412,0.8293333333333333,0.43820224719101125
harvard_fairvision,amd,middle-aged,asian,male,age_group=middle-aged|race=asian|gender=male,mirage_slo,all,10,0,0,0.43694369057308513,0.42533195279128894,0.4518305338830802,0.47945114359780416,0.47197298780913505,0.425171338574905,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1236,39,0.3446666666666667,0.07266666666666667,0.412,0.8293333333333333,0.43820224719101125
harvard_fairvision,amd,middle-aged,asian,male,age_group=middle-aged|race=asian|gender=male,urfound_oct,all,11,0,0,0.4400285817687757,0.4249706870238165,0.4593335750315437,0.499045885800343,0.4907529315853427,0.42056986219686193,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1236,39,0.3446666666666667,0.07266666666666667,0.412,0.8293333333333333,0.43820224719101125
harvard_fairvision,amd,middle-aged,asian,male,age_group=middle-aged|race=asian|gender=male,visionfm_slo,all,12,0,0,0.44749506154630114,0.4507197225590398,0.4433608807607388,0.43553409839344764,0.4978991579340247,0.44028931809407423,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1236,39,0.3446666666666667,0.07266666666666667,0.412,0.8293333333333333,0.43820224719101125
harvard_fairvision,amd,middle-aged,asian,male,age_group=middle-aged|race=asian|gender=male,visionfm_oct,all,13,0,0,0.4519591805362464,0.44472632924373534,0.46123206680869644,0.47513841195698686,0.5643555326874559,0.43140999848757833,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,218,1236,39,0.3446666666666667,0.07266666666666667,0.412,0.8293333333333333,0.43820224719101125
harvard_fairvision,amd,middle-aged,black,female,age_group=middle-aged|race=black|gender=female,resnet50_slo_supervised,all,1,1,0,0.39534300347315177,0.38313607935198757,0.40252354707383664,0.420378915756416,0.47024006268858665,0.37781533930124067,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,371,1764,85,0.3446666666666667,0.12366666666666666,0.588,1.0563333333333333,0.6296296296296297
harvard_fairvision,amd,middle-aged,black,female,age_group=middle-aged|race=black|gender=female,resnet50_oct_supervised,all,2,0,1,0.39643834395740457,0.37880479167826114,0.4068110217686654,0.43321312418784197,0.49548114889502903,0.3726860835230252,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,371,1764,85,0.3446666666666667,0.12366666666666666,0.588,1.0563333333333333,0.6296296296296297
harvard_fairvision,amd,middle-aged,black,female,age_group=middle-aged|race=black|gender=female,ret_clip_slo,all,3,0,0,0.40269350104749374,0.3901165755158039,0.41009169253672306,0.4294259077957254,0.4876317138272809,0.38245057775406693,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,371,1764,85,0.3446666666666667,0.12366666666666666,0.588,1.0563333333333333,0.6296296296296297
harvard_fairvision,amd,middle-aged,black,female,age_group=middle-aged|race=black|gender=female,flair_slo,all,4,0,0,0.4038676278170382,0.3894235650805271,0.4123641353091035,0.43665081482286056,0.4844307955724459,0.3829711888380577,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,371,1764,85,0.3446666666666667,0.12366666666666666,0.588,1.0563333333333333,0.6296296296296297
harvard_fairvision,amd,middle-aged,black,female,age_group=middle-aged|race=black|gender=female,vit_b_16_oct_supervised,all,5,0,0,0.4130428289806143,0.39944262429329697,0.4210429493849186,0.44114913164813613,0.4933910593763089,0.3940412820000135,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,371,1764,85,0.3446666666666667,0.12366666666666666,0.588,1.0563333333333333,0.6296296296296297
harvard_fairvision,amd,middle-aged,black,female,age_group=middle-aged|race=black|gender=female,vit_b_16_slo_supervised,all,6,0,0,0.41480908802922084,0.3993243864332928,0.4239177360268256,0.4542430307919822,0.48258159234516096,0.3938039914229286,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,371,1764,85,0.3446666666666667,0.12366666666666666,0.588,1.0563333333333333,0.6296296296296297
harvard_fairvision,amd,middle-aged,black,female,age_group=middle-aged|race=black|gender=female,retfound_oct,all,7,0,0,0.41874679645977864,0.4218422625296211,0.41692593406575357,0.406219778336066,0.4227888419373166,0.4219684659275151,0.35*FNR + 0.25*FPR + 0.15*ECE + 0.15*(1-AUROC) + 0.1*(1-F1),lower_is_better,3000,1034,371,1764,85,0.3446666666666667,0.12366666666666666,0.588,1.0563333333333333,0.6296296296296297
